date | value
2022-02-02 | 3
2022-02-02 | 1.2
2022-03-01 | 1
2022-03-10 | 0
2022-03-10 | 1000
2022-03-10 | 999.99
2009-01-02 | 1
2009-01-05 | 500
2022-03-29 | 42
2022-01-01 | 1
2021-12-31 | 1
2015-06-15 | 10
2017-12-17 | 0.5
2020-03-13 | 100
2022-03-10 | -1
2022-03-10 | -0.1
2022-03-10 | 1001
2022-03-10 | 2147483648
2001-42-42
2022-13-01 | 1
2022-00-01 | 1
2022-01-00 | 1
2022-01-32 | 1
2022-02-30 | 1
2021-02-29 | 1
2024-02-29 | 1
abc | 1
2022-02-02 | abc
2022-02-02 | 1.2.3
 | 1
2022-02-02 |
2022-02-02
